datetime,count
<<<<<<< HEAD
2011-01-20 0:00,0
2011-01-20 1:00,0
2011-01-20 2:00,0
2011-01-20 3:00,0
2011-01-20 4:00,0
2011-01-20 5:00,0
2011-01-20 6:00,0
2011-01-20 7:00,0
2011-01-20 8:00,0
2011-01-20 9:00,0
2011-01-20 10:00,0
2011-01-20 11:00,0
2011-01-20 12:00,0
2011-01-20 13:00,0
2011-01-20 14:00,0
2011-01-20 15:00,0
2011-01-20 16:00,0
2011-01-20 17:00,0
2011-01-20 18:00,0
2011-01-20 19:00,0
2011-01-20 20:00,0
2011-01-20 21:00,0
2011-01-20 22:00,0
2011-01-20 23:00,0
2011-01-21 0:00,0
2011-01-21 1:00,0
2011-01-21 2:00,0
2011-01-21 3:00,0
2011-01-21 4:00,0
2011-01-21 5:00,0
2011-01-21 6:00,0
2011-01-21 7:00,0
2011-01-21 8:00,0
2011-01-21 9:00,0
2011-01-21 10:00,0
2011-01-21 11:00,0
2011-01-21 12:00,0
2011-01-21 13:00,0
2011-01-21 14:00,0
2011-01-21 15:00,0
2011-01-21 16:00,0
2011-01-21 17:00,0
2011-01-21 18:00,0
2011-01-21 19:00,0
2011-01-21 20:00,0
2011-01-21 21:00,0
2011-01-21 22:00,0
2011-01-21 23:00,0
2011-01-22 0:00,0
2011-01-22 1:00,0
2011-01-22 2:00,0
2011-01-22 3:00,0
2011-01-22 4:00,0
2011-01-22 6:00,0
2011-01-22 7:00,0
2011-01-22 8:00,0
2011-01-22 9:00,0
2011-01-22 10:00,0
2011-01-22 11:00,0
2011-01-22 12:00,0
2011-01-22 13:00,0
2011-01-22 14:00,0
2011-01-22 15:00,0
2011-01-22 16:00,0
2011-01-22 17:00,0
2011-01-22 18:00,0
2011-01-22 19:00,0
2011-01-22 20:00,0
2011-01-22 21:00,0
2011-01-22 22:00,0
2011-01-22 23:00,0
2011-01-23 0:00,0
2011-01-23 1:00,0
2011-01-23 2:00,0
2011-01-23 3:00,0
2011-01-23 5:00,0
2011-01-23 6:00,0
2011-01-23 7:00,0
2011-01-23 8:00,0
2011-01-23 9:00,0
2011-01-23 10:00,0
2011-01-23 11:00,0
2011-01-23 12:00,0
2011-01-23 13:00,0
2011-01-23 14:00,0
2011-01-23 15:00,0
2011-01-23 16:00,0
2011-01-23 17:00,0
2011-01-23 18:00,0
2011-01-23 19:00,0
2011-01-23 20:00,0
2011-01-23 21:00,0
2011-01-23 22:00,0
2011-01-23 23:00,0
2011-01-24 0:00,0
2011-01-24 1:00,0
2011-01-24 3:00,0
2011-01-24 4:00,0
2011-01-24 5:00,0
2011-01-24 6:00,0
2011-01-24 7:00,0
2011-01-24 8:00,0
2011-01-24 9:00,0
2011-01-24 10:00,0
2011-01-24 11:00,0
2011-01-24 12:00,0
2011-01-24 13:00,0
2011-01-24 14:00,0
2011-01-24 15:00,0
2011-01-24 16:00,0
2011-01-24 17:00,0
2011-01-24 18:00,0
2011-01-24 19:00,0
2011-01-24 20:00,0
2011-01-24 21:00,0
2011-01-24 22:00,0
2011-01-24 23:00,0
2011-01-25 0:00,0
2011-01-25 1:00,0
2011-01-25 2:00,0
2011-01-25 4:00,0
2011-01-25 5:00,0
2011-01-25 6:00,0
2011-01-25 7:00,0
2011-01-25 8:00,0
2011-01-25 9:00,0
2011-01-25 10:00,0
2011-01-25 11:00,0
2011-01-25 12:00,0
2011-01-25 13:00,0
2011-01-25 14:00,0
2011-01-25 15:00,0
2011-01-25 16:00,0
2011-01-25 17:00,0
2011-01-25 18:00,0
2011-01-25 19:00,0
2011-01-25 20:00,0
2011-01-25 21:00,0
2011-01-25 22:00,0
2011-01-25 23:00,0
2011-01-26 0:00,0
2011-01-26 1:00,0
2011-01-26 2:00,0
2011-01-26 5:00,0
2011-01-26 6:00,0
2011-01-26 7:00,0
2011-01-26 8:00,0
2011-01-26 9:00,0
2011-01-26 10:00,0
2011-01-26 11:00,0
2011-01-26 12:00,0
2011-01-26 13:00,0
2011-01-26 14:00,0
2011-01-26 15:00,0
2011-01-26 16:00,0
2011-01-26 17:00,0
2011-01-27 16:00,0
2011-01-27 17:00,0
2011-01-27 18:00,0
2011-01-27 19:00,0
2011-01-27 20:00,0
2011-01-27 21:00,0
2011-01-27 22:00,0
2011-01-27 23:00,0
2011-01-28 0:00,0
2011-01-28 1:00,0
2011-01-28 2:00,0
2011-01-28 3:00,0
2011-01-28 5:00,0
2011-01-28 6:00,0
2011-01-28 7:00,0
2011-01-28 8:00,0
2011-01-28 9:00,0
2011-01-28 10:00,0
2011-01-28 11:00,0
2011-01-28 12:00,0
2011-01-28 13:00,0
2011-01-28 14:00,0
2011-01-28 15:00,0
2011-01-28 16:00,0
2011-01-28 17:00,0
2011-01-28 18:00,0
2011-01-28 19:00,0
2011-01-28 20:00,0
2011-01-28 21:00,0
2011-01-28 22:00,0
2011-01-28 23:00,0
2011-01-29 0:00,0
2011-01-29 1:00,0
2011-01-29 2:00,0
2011-01-29 3:00,0
2011-01-29 4:00,0
2011-01-29 6:00,0
2011-01-29 7:00,0
2011-01-29 8:00,0
2011-01-29 9:00,0
2011-01-29 10:00,0
2011-01-29 11:00,0
2011-01-29 12:00,0
2011-01-29 13:00,0
2011-01-29 14:00,0
2011-01-29 15:00,0
2011-01-29 16:00,0
2011-01-29 17:00,0
2011-01-29 18:00,0
2011-01-29 19:00,0
2011-01-29 20:00,0
2011-01-29 21:00,0
2011-01-29 22:00,0
2011-01-29 23:00,0
2011-01-30 0:00,0
2011-01-30 1:00,0
2011-01-30 2:00,0
2011-01-30 3:00,0
2011-01-30 4:00,0
2011-01-30 5:00,0
2011-01-30 7:00,0
2011-01-30 8:00,0
2011-01-30 9:00,0
2011-01-30 10:00,0
2011-01-30 11:00,0
2011-01-30 12:00,0
2011-01-30 13:00,0
2011-01-30 14:00,0
2011-01-30 15:00,0
2011-01-30 16:00,0
2011-01-30 17:00,0
2011-01-30 18:00,0
2011-01-30 19:00,0
2011-01-30 20:00,0
2011-01-30 21:00,0
2011-01-30 22:00,0
2011-01-30 23:00,0
2011-01-31 0:00,0
2011-01-31 1:00,0
2011-01-31 2:00,0
2011-01-31 3:00,0
2011-01-31 4:00,0
2011-01-31 5:00,0
2011-01-31 6:00,0
2011-01-31 7:00,0
2011-01-31 8:00,0
2011-01-31 9:00,0
2011-01-31 10:00,0
2011-01-31 11:00,0
2011-01-31 12:00,0
2011-01-31 13:00,0
2011-01-31 14:00,0
2011-01-31 15:00,0
2011-01-31 16:00,0
2011-01-31 17:00,0
2011-01-31 18:00,0
2011-01-31 19:00,0
2011-01-31 20:00,0
2011-01-31 21:00,0
2011-01-31 22:00,0
2011-01-31 23:00,0
2011-02-20 0:00,0
2011-02-20 1:00,0
2011-02-20 2:00,0
2011-02-20 3:00,0
2011-02-20 4:00,0
2011-02-20 6:00,0
2011-02-20 7:00,0
2011-02-20 8:00,0
2011-02-20 9:00,0
2011-02-20 10:00,0
2011-02-20 11:00,0
2011-02-20 12:00,0
2011-02-20 13:00,0
2011-02-20 14:00,0
2011-02-20 15:00,0
2011-02-20 16:00,0
2011-02-20 17:00,0
2011-02-20 18:00,0
2011-02-20 19:00,0
2011-02-20 20:00,0
2011-02-20 21:00,0
2011-02-20 22:00,0
2011-02-20 23:00,0
2011-02-21 0:00,0
2011-02-21 1:00,0
2011-02-21 2:00,0
2011-02-21 3:00,0
2011-02-21 4:00,0
2011-02-21 5:00,0
2011-02-21 6:00,0
2011-02-21 7:00,0
2011-02-21 8:00,0
2011-02-21 9:00,0
2011-02-21 10:00,0
2011-02-21 11:00,0
2011-02-21 12:00,0
2011-02-21 13:00,0
2011-02-21 14:00,0
2011-02-21 15:00,0
2011-02-21 16:00,0
2011-02-21 17:00,0
2011-02-21 18:00,0
2011-02-21 19:00,0
2011-02-21 20:00,0
2011-02-21 21:00,0
2011-02-21 22:00,0
2011-02-21 23:00,0
2011-02-22 6:00,0
